,EmployeeNumber,Age,Attrition,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,RelationshipSatisfaction,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
270,374,55,No,Research & Development,3,Medical,4,Male,3,5,Manager,1,19045,3,36,10,13
271,376,47,Yes,Research & Development,4,Life Sciences,1,Male,3,3,Manager,2,11849,4,10,7,9
272,377,28,No,Research & Development,3,Medical,4,Male,3,1,Research Scientist,4,2070,4,5,2,4
273,378,37,No,Sales,4,Medical,3,Male,3,2,Sales Executive,4,6502,2,5,4,1
274,379,21,No,Research & Development,2,Medical,4,Male,2,1,Research Scientist,3,3230,1,3,2,0
275,380,37,No,Research & Development,4,Medical,1,Female,3,3,Research Director,4,13603,1,5,2,2
276,381,35,No,Research & Development,3,Life Sciences,2,Female,4,3,Manager,2,11996,2,7,7,2
277,382,38,No,Sales,2,Medical,1,Female,4,2,Sales Executive,1,5605,3,8,0,7
278,384,26,No,Research & Development,3,Life Sciences,3,Female,3,2,Manufacturing Director,2,6397,1,6,5,4
279,385,50,No,Research & Development,1,Life Sciences,1,Male,3,5,Research Director,2,19144,1,10,4,6
280,386,53,No,Research & Development,4,Medical,3,Male,3,4,Research Director,3,17584,4,5,3,3
281,387,42,No,Sales,1,Life Sciences,2,Male,3,2,Sales Executive,3,4907,3,20,16,6
282,388,29,No,Sales,2,Life Sciences,2,Male,3,2,Sales Executive,4,4554,1,10,7,9
283,389,55,No,Research & Development,2,Technical Degree,2,Male,3,2,Laboratory Technician,4,5415,4,10,7,8
284,390,26,No,Research & Development,2,Medical,1,Male,3,2,Healthcare Representative,1,4741,3,5,3,3
285,391,37,No,Research & Development,3,Life Sciences,4,Female,3,1,Research Scientist,4,2115,2,17,12,7
286,392,44,Yes,Research & Development,3,Life Sciences,4,Male,3,1,Laboratory Technician,3,3161,4,1,0,0
287,393,38,No,Research & Development,4,Life Sciences,4,Male,3,2,Healthcare Representative,4,5745,2,2,2,2
288,394,26,Yes,Research & Development,4,Medical,1,Male,3,1,Laboratory Technician,2,2373,4,3,2,2
289,395,28,No,Research & Development,2,Life Sciences,4,Female,3,1,Research Scientist,4,3310,4,5,3,2
290,396,49,No,Research & Development,4,Life Sciences,3,Female,3,5,Research Director,1,18665,4,3,2,2
291,397,36,No,Research & Development,3,Technical Degree,3,Male,3,2,Research Scientist,2,4485,4,8,0,7
292,399,31,No,Sales,3,Marketing,4,Female,3,1,Sales Representative,2,2789,3,2,2,2
293,401,26,Yes,Sales,4,Marketing,4,Male,2,2,Sales Executive,4,5828,2,8,7,4
294,403,37,No,Research & Development,3,Medical,2,Male,3,1,Research Scientist,4,2326,3,4,2,2
295,404,42,No,Sales,3,Marketing,3,Female,3,4,Sales Executive,2,13525,4,20,4,8
296,405,18,Yes,Research & Development,3,Life Sciences,3,Male,3,1,Laboratory Technician,3,1420,3,0,0,0
297,406,35,No,Sales,3,Marketing,3,Male,3,3,Sales Executive,2,8020,3,11,9,9
298,407,36,No,Research & Development,4,Life Sciences,3,Male,4,1,Laboratory Technician,4,3688,4,1,0,0
299,408,51,No,Research & Development,3,Medical,4,Male,1,2,Manufacturing Director,2,5482,4,4,1,2
300,410,41,No,Sales,4,Life Sciences,4,Male,3,4,Manager,2,16015,2,22,10,4
301,411,18,No,Sales,3,Medical,4,Female,2,1,Sales Representative,3,1200,1,0,0,0
302,412,28,No,Research & Development,2,Medical,2,Male,4,2,Healthcare Representative,1,5661,3,8,3,7
303,416,31,No,Sales,3,Technical Degree,2,Male,4,2,Sales Executive,4,6929,2,8,7,7
304,417,39,No,Research & Development,3,Medical,3,Male,4,3,Healthcare Representative,4,9613,1,18,10,7
305,419,36,No,Research & Development,4,Life Sciences,2,Female,3,2,Laboratory Technician,2,5674,3,9,8,8
306,420,32,No,Sales,3,Life Sciences,4,Male,2,2,Sales Executive,3,5484,3,13,8,8
307,421,38,No,Research & Development,2,Life Sciences,1,Female,2,3,Research Director,2,12061,3,10,8,1
308,422,58,No,Research & Development,4,Life Sciences,4,Male,1,2,Healthcare Representative,3,5660,4,5,3,2
309,423,31,No,Research & Development,4,Technical Degree,3,Male,3,1,Research Scientist,4,4821,3,5,2,3
310,424,31,No,Human Resources,3,Human Resources,1,Male,2,2,Human Resources,1,6410,4,2,2,0
311,425,45,No,Research & Development,3,Life Sciences,1,Male,3,3,Laboratory Technician,1,5210,1,24,9,11
312,426,31,No,Research & Development,4,Life Sciences,3,Male,3,1,Research Scientist,4,2695,2,2,2,2
313,428,33,No,Research & Development,4,Life Sciences,4,Female,3,3,Manager,2,11878,2,10,6,8
314,429,39,No,Research & Development,1,Medical,3,Male,3,4,Manager,1,17068,4,21,9,10
315,430,43,No,Research & Development,4,Life Sciences,3,Female,3,1,Laboratory Technician,4,2455,1,8,7,7
316,431,49,No,Research & Development,2,Technical Degree,3,Female,2,4,Healthcare Representative,3,13964,4,7,1,7
317,433,52,Yes,Research & Development,4,Medical,3,Male,2,2,Research Scientist,2,4941,1,8,2,7
318,434,27,No,Research & Development,3,Life Sciences,3,Female,3,1,Research Scientist,2,2478,2,4,3,2
319,436,32,No,Sales,2,Technical Degree,3,Female,2,2,Sales Executive,2,5228,4,13,12,9
320,437,27,No,Sales,3,Life Sciences,4,Male,3,2,Sales Executive,3,4478,1,5,4,4
321,438,31,No,Sales,3,Marketing,4,Male,3,2,Sales Executive,4,7547,4,7,7,7
322,439,32,No,Research & Development,4,Medical,1,Female,4,2,Research Scientist,4,5055,3,7,7,7
323,440,28,Yes,Research & Development,4,Medical,1,Male,1,1,Research Scientist,4,3464,4,3,2,2
324,441,30,No,Research & Development,2,Medical,4,Female,3,2,Research Scientist,4,5775,4,10,8,9
325,442,31,No,Research & Development,2,Life Sciences,3,Female,2,3,Manufacturing Director,3,8943,1,10,9,9
326,444,39,No,Research & Development,2,Medical,3,Male,2,5,Manager,4,19272,1,21,9,3
327,445,39,Yes,Sales,2,Medical,4,Female,3,2,Sales Executive,3,5238,1,1,0,0
328,446,33,No,Sales,3,Marketing,2,Male,2,2,Sales Executive,4,4682,3,7,7,1
329,447,47,No,Research & Development,5,Life Sciences,4,Male,3,5,Research Director,3,18300,2,3,2,1
330,448,43,No,Research & Development,4,Life Sciences,3,Female,2,2,Laboratory Technician,3,5257,2,9,7,0
331,449,27,No,Sales,1,Marketing,3,Male,3,2,Sales Executive,2,6349,4,5,4,4
332,450,54,No,Research & Development,4,Life Sciences,4,Female,3,2,Research Scientist,3,4869,4,4,3,3
333,451,43,No,Research & Development,3,Life Sciences,3,Female,3,3,Healthcare Representative,1,9985,1,1,0,0
334,452,45,No,Research & Development,4,Other,4,Male,3,2,Research Scientist,4,3697,1,10,9,8
335,453,40,No,Sales,2,Medical,2,Male,1,2,Sales Executive,4,7457,3,4,3,2
336,454,29,Yes,Research & Development,4,Other,2,Male,1,1,Laboratory Technician,1,2119,4,7,7,7
337,455,29,No,Research & Development,5,Other,2,Male,2,1,Laboratory Technician,4,3983,3,3,2,2
338,456,30,No,Sales,3,Marketing,4,Female,2,2,Sales Executive,3,6118,3,10,9,2
339,458,27,No,Sales,4,Marketing,2,Female,3,2,Sales Executive,2,6214,1,8,7,7
340,460,37,No,Research & Development,2,Medical,4,Male,3,2,Manufacturing Director,4,6347,3,6,2,4
341,461,38,No,Research & Development,2,Life Sciences,3,Male,2,3,Research Director,4,11510,2,11,10,9
342,462,31,No,Research & Development,4,Medical,3,Female,3,3,Manufacturing Director,4,7143,3,11,9,10
343,463,29,No,Sales,1,Marketing,4,Female,2,2,Sales Executive,2,8268,1,7,7,7
344,464,35,No,Research & Development,4,Technical Degree,3,Male,3,3,Manufacturing Director,2,8095,4,16,6,13
345,465,23,No,Research & Development,1,Life Sciences,3,Male,3,1,Research Scientist,4,2904,3,4,2,2
346,466,41,No,Research & Development,3,Medical,4,Male,2,2,Manufacturing Director,2,6032,4,5,4,2
347,467,47,No,Sales,1,Medical,2,Male,3,2,Sales Representative,3,2976,1,0,0,0
348,468,42,No,Research & Development,5,Life Sciences,1,Female,3,4,Research Director,4,15992,2,1,0,0
349,469,29,No,Sales,3,Life Sciences,4,Male,3,2,Sales Executive,3,4649,1,4,3,2
350,470,42,No,Human Resources,1,Technical Degree,3,Male,3,1,Human Resources,3,2696,3,3,2,0
351,471,32,No,Research & Development,3,Medical,3,Female,3,1,Laboratory Technician,2,2370,3,8,0,7
352,473,48,No,Sales,1,Medical,1,Female,3,3,Manager,3,12504,2,0,0,0
353,474,37,No,Research & Development,3,Medical,3,Male,4,2,Research Scientist,1,5974,1,7,7,7
354,475,30,No,Sales,2,Technical Degree,4,Female,3,2,Sales Executive,3,4736,2,2,2,2
355,476,26,No,Sales,3,Life Sciences,3,Male,3,2,Sales Executive,3,5296,2,8,7,7
356,477,42,No,Research & Development,4,Other,1,Male,2,2,Healthcare Representative,4,6781,2,1,0,0
357,478,21,Yes,Sales,1,Technical Degree,1,Female,2,1,Sales Representative,2,2174,3,3,2,2
358,479,36,No,Sales,5,Medical,4,Female,3,2,Sales Executive,4,6653,2,1,0,0
359,481,36,No,Sales,4,Medical,1,Male,2,3,Sales Executive,4,9699,1,13,9,12
360,482,57,No,Research & Development,4,Medical,4,Male,3,2,Healthcare Representative,3,6755,3,3,2,2
361,483,40,No,Research & Development,4,Life Sciences,4,Female,4,1,Laboratory Technician,3,2213,3,7,7,7
362,484,21,No,Sales,2,Medical,1,Male,3,1,Sales Representative,4,2610,3,3,2,2
363,485,33,Yes,Sales,3,Marketing,4,Female,3,1,Sales Representative,3,2851,2,1,0,0
364,486,37,No,Research & Development,3,Medical,3,Female,3,1,Laboratory Technician,1,3452,2,5,4,3
365,487,46,No,Research & Development,4,Medical,3,Female,3,2,Manufacturing Director,3,5258,3,1,0,0
366,488,41,Yes,Sales,3,Marketing,1,Male,3,2,Sales Executive,2,9355,3,8,7,7
367,491,50,No,Research & Development,3,Technical Degree,4,Male,2,3,Healthcare Representative,4,10496,4,4,3,3
368,492,40,Yes,Sales,2,Marketing,3,Male,2,2,Sales Executive,3,6380,1,6,4,0
369,493,31,No,Research & Development,4,Life Sciences,3,Male,2,1,Research Scientist,2,2657,4,2,2,2
370,494,21,Yes,Sales,3,Life Sciences,3,Female,4,1,Sales Representative,2,2716,4,1,0,0
371,495,29,No,Research & Development,3,Life Sciences,4,Male,3,1,Research Scientist,4,2201,4,3,2,2
372,496,35,No,Research & Development,4,Life Sciences,3,Male,2,2,Healthcare Representative,2,6540,3,1,1,0
373,497,27,No,Research & Development,2,Medical,4,Male,3,1,Laboratory Technician,2,3816,2,5,2,4
374,498,28,No,Sales,4,Life Sciences,2,Male,3,2,Sales Executive,4,5253,4,7,5,7
375,499,49,No,Research & Development,3,Other,2,Male,2,3,Healthcare Representative,3,10965,3,5,2,0
376,500,51,No,Sales,2,Life Sciences,3,Female,3,2,Sales Executive,4,4936,3,7,7,7
377,501,36,No,Research & Development,3,Life Sciences,4,Female,3,1,Research Scientist,3,2543,2,2,2,2
378,502,34,Yes,Sales,3,Marketing,1,Male,4,2,Sales Executive,4,5304,2,5,2,4
379,505,55,No,Research & Development,3,Life Sciences,3,Female,3,4,Manager,4,16659,3,5,4,2
380,507,24,No,Sales,4,Marketing,4,Female,3,2,Sales Executive,3,4260,4,5,2,3
381,508,30,No,Sales,1,Technical Degree,3,Male,3,1,Sales Representative,2,2476,1,1,0,0
382,510,26,Yes,Research & Development,1,Technical Degree,3,Male,3,1,Research Scientist,1,3102,3,6,4,4
383,511,22,No,Research & Development,3,Medical,1,Female,3,1,Research Scientist,2,2244,4,2,1,2
384,513,36,No,Sales,2,Medical,2,Male,2,3,Sales Executive,3,7596,2,10,9,0
385,514,30,Yes,Research & Development,3,Technical Degree,3,Male,3,1,Research Scientist,4,2285,3,1,0,0
386,515,37,No,Research & Development,3,Life Sciences,4,Female,3,1,Laboratory Technician,1,3034,3,18,7,17
387,516,40,No,Sales,2,Marketing,4,Female,3,2,Sales Executive,2,5715,3,5,4,3
388,517,42,No,Research & Development,4,Life Sciences,2,Female,3,1,Laboratory Technician,1,2576,2,5,2,2
389,518,37,No,Research & Development,4,Life Sciences,3,Male,3,2,Manufacturing Director,2,4197,4,1,0,1
390,520,43,No,Research & Development,3,Life Sciences,1,Male,2,4,Research Director,2,14336,3,25,10,9
391,521,40,No,Research & Development,3,Medical,2,Female,2,2,Laboratory Technician,3,3448,2,1,0,0
392,522,54,No,Research & Development,2,Medical,1,Male,3,5,Research Director,1,19406,3,4,2,2
393,523,34,No,Sales,4,Marketing,3,Female,3,2,Sales Executive,3,6538,1,3,2,2
394,524,31,No,Research & Development,2,Medical,2,Female,3,2,Manufacturing Director,1,4306,2,13,10,12
395,525,43,No,Research & Development,3,Medical,4,Male,3,1,Laboratory Technician,4,2258,1,3,2,2
396,526,43,No,Research & Development,4,Other,3,Female,3,2,Healthcare Representative,3,4522,4,5,2,2
397,527,25,No,Sales,2,Life Sciences,2,Female,2,2,Sales Executive,4,4487,2,5,4,3
398,529,37,No,Research & Development,5,Medical,2,Female,3,2,Research Scientist,3,4449,1,13,11,7
399,530,31,No,Research & Development,2,Life Sciences,4,Male,2,1,Laboratory Technician,1,2218,3,4,2,2
400,531,39,No,Research & Development,1,Life Sciences,2,Male,3,5,Manager,3,19197,3,21,8,6
401,532,56,No,Sales,3,Life Sciences,3,Female,4,4,Sales Executive,1,13212,4,7,7,7
402,533,30,No,Sales,3,Technical Degree,2,Female,3,2,Sales Executive,3,6577,2,5,4,4
403,534,41,No,Sales,3,Marketing,2,Male,4,3,Sales Executive,1,8392,3,10,7,7
404,536,28,No,Research & Development,2,Medical,3,Male,3,2,Laboratory Technician,1,4558,4,10,0,8
405,538,25,Yes,Research & Development,3,Medical,1,Male,3,1,Laboratory Technician,1,4031,3,2,2,2
406,543,52,No,Research & Development,3,Medical,4,Male,2,3,Manufacturing Director,3,7969,3,5,4,4
407,544,45,No,Research & Development,2,Life Sciences,1,Male,3,1,Research Scientist,4,2654,4,2,2,2
408,546,52,No,Research & Development,2,Life Sciences,4,Female,3,4,Manager,4,16555,4,5,2,4
409,547,42,No,Research & Development,2,Life Sciences,1,Female,3,2,Research Scientist,3,4556,2,5,4,2
410,548,30,No,Research & Development,3,Life Sciences,3,Female,1,2,Manufacturing Director,4,6091,3,5,4,2
411,549,60,No,Research & Development,3,Life Sciences,1,Female,3,5,Manager,1,19566,4,29,8,10
412,550,46,No,Research & Development,3,Medical,3,Female,3,2,Manufacturing Director,3,4810,3,10,7,8
413,551,42,No,Research & Development,4,Technical Degree,4,Female,2,2,Healthcare Representative,4,4523,4,6,5,4
414,554,24,Yes,Sales,1,Technical Degree,1,Female,3,1,Sales Representative,2,3202,2,5,3,4
415,555,34,Yes,Sales,2,Marketing,4,Female,1,1,Sales Representative,3,2351,4,2,2,0
416,556,38,No,Research & Development,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,1702,3,1,0,0
417,558,40,No,Sales,4,Life Sciences,3,Female,3,5,Manager,3,18041,4,20,15,12
418,560,26,No,Research & Development,3,Life Sciences,1,Female,3,1,Research Scientist,4,2886,2,3,2,2
419,562,30,No,Research & Development,3,Life Sciences,3,Male,3,1,Laboratory Technician,4,2097,3,5,3,4
420,564,29,No,Research & Development,4,Medical,2,Male,2,3,Research Director,3,11935,3,10,2,7
421,565,29,Yes,Research & Development,5,Technical Degree,3,Female,2,1,Research Scientist,2,2546,2,2,2,1
422,566,19,Yes,Human Resources,2,Technical Degree,1,Male,2,1,Human Resources,4,2564,3,1,0,0
423,567,30,No,Sales,4,Other,3,Female,3,3,Sales Executive,1,8412,3,9,8,8
424,568,57,No,Sales,3,Marketing,1,Male,2,4,Manager,4,14118,3,1,0,0
425,569,50,No,Research & Development,4,Life Sciences,2,Male,2,4,Manager,3,17046,2,27,10,7
426,571,30,No,Research & Development,3,Medical,3,Female,3,1,Laboratory Technician,4,2564,3,11,7,7
427,573,60,No,Sales,3,Marketing,3,Female,2,3,Sales Executive,1,10266,4,18,13,11
428,574,47,No,Research & Development,2,Medical,1,Female,3,2,Manufacturing Director,4,5070,3,5,0,4
429,575,46,No,Research & Development,3,Life Sciences,1,Male,3,4,Research Director,3,17861,3,3,2,1
430,577,35,No,Research & Development,3,Life Sciences,4,Male,1,1,Laboratory Technician,3,4230,3,5,4,3
431,578,54,No,Research & Development,4,Life Sciences,3,Female,3,2,Laboratory Technician,3,3780,3,1,0,0
432,579,34,No,Research & Development,4,Life Sciences,4,Male,2,1,Research Scientist,3,2768,3,7,3,7
433,580,46,No,Sales,3,Marketing,3,Female,2,3,Sales Executive,4,9071,3,3,2,2
434,581,31,No,Research & Development,1,Life Sciences,3,Male,3,3,Manufacturing Director,2,10648,4,13,8,8
435,582,33,Yes,Research & Development,1,Medical,2,Male,3,3,Manager,3,13610,4,7,6,7
436,584,33,Yes,Research & Development,1,Medical,1,Male,1,1,Laboratory Technician,4,3408,1,4,3,3
437,585,30,No,Sales,1,Marketing,4,Male,3,1,Sales Representative,2,2983,1,3,2,2
438,586,35,No,Research & Development,3,Life Sciences,4,Male,3,3,Healthcare Representative,3,7632,3,8,7,0
439,587,31,Yes,Research & Development,3,Life Sciences,1,Male,3,3,Healthcare Representative,3,9824,1,1,0,0
440,590,34,Yes,Human Resources,3,Human Resources,2,Female,3,3,Human Resources,1,9950,3,3,2,2
441,591,42,No,Research & Development,2,Other,2,Male,3,1,Laboratory Technician,3,2093,4,2,2,0
442,592,36,No,Sales,4,Medical,2,Male,3,3,Sales Executive,4,9980,4,10,3,7
443,593,22,Yes,Research & Development,1,Technical Degree,3,Male,2,1,Laboratory Technician,3,3894,3,2,2,2
444,595,48,No,Sales,5,Marketing,2,Female,3,2,Sales Executive,4,4051,1,9,7,7
445,597,55,No,Sales,5,Life Sciences,1,Female,3,4,Manager,2,16835,4,10,9,7
446,599,41,No,Sales,2,Life Sciences,4,Male,3,2,Sales Executive,4,6230,4,14,3,10
447,600,35,No,Sales,3,Marketing,2,Male,3,2,Sales Executive,3,4717,3,11,9,9
448,601,40,No,Research & Development,3,Life Sciences,2,Female,3,4,Manufacturing Director,3,13237,3,20,6,13
449,602,39,No,Research & Development,1,Life Sciences,3,Female,3,1,Laboratory Technician,3,3755,1,8,3,7
450,604,31,No,Sales,1,Life Sciences,2,Male,3,2,Sales Executive,4,6582,3,6,5,5
451,605,42,No,Research & Development,3,Medical,4,Male,3,3,Manufacturing Director,1,7406,4,10,9,8
452,606,45,No,Sales,3,Other,4,Male,3,2,Sales Executive,2,4805,2,8,7,7
453,608,26,Yes,Human Resources,4,Life Sciences,2,Female,3,1,Human Resources,3,2741,2,7,7,0
454,611,29,No,Research & Development,3,Technical Degree,4,Male,3,2,Manufacturing Director,4,4262,2,3,2,2
455,612,33,No,Research & Development,5,Medical,1,Female,4,4,Research Director,3,16184,3,6,1,5
456,613,31,No,Sales,3,Life Sciences,3,Male,2,3,Manager,4,11557,3,5,4,1
457,614,18,Yes,Sales,3,Marketing,2,Male,3,1,Sales Representative,2,1878,4,0,0,0
458,615,40,No,Sales,3,Other,3,Male,1,3,Sales Executive,1,10932,3,1,0,1
459,616,41,No,Research & Development,4,Other,1,Female,2,2,Healthcare Representative,3,6811,1,8,7,7
460,618,26,No,Sales,2,Medical,1,Male,3,2,Sales Executive,3,4306,1,0,0,0
461,620,35,No,Sales,3,Medical,1,Female,3,2,Sales Executive,3,4859,4,5,4,3
462,621,34,No,Sales,4,Life Sciences,4,Male,4,2,Sales Executive,4,5337,4,10,7,7
463,622,26,Yes,Research & Development,3,Technical Degree,3,Male,1,1,Laboratory Technician,4,2340,2,1,0,0
464,623,37,No,Research & Development,3,Technical Degree,2,Female,3,3,Manufacturing Director,4,7491,4,6,5,2
465,624,46,No,Research & Development,1,Medical,1,Female,3,3,Healthcare Representative,3,10527,4,2,2,2
466,625,41,No,Sales,5,Life Sciences,2,Female,3,4,Manager,1,16595,2,18,16,8
467,626,37,No,Sales,4,Medical,1,Male,3,3,Sales Executive,2,8834,4,9,5,7
468,630,52,No,Research & Development,2,Technical Degree,4,Male,3,2,Research Scientist,1,5577,2,10,9,9
469,631,32,Yes,Sales,4,Other,4,Male,4,2,Sales Executive,3,4707,4,4,2,2
470,632,24,No,Sales,3,Medical,4,Male,3,1,Sales Representative,4,2400,3,2,2,1
471,634,38,No,Research & Development,3,Medical,3,Female,3,2,Healthcare Representative,3,9824,3,1,0,0
472,635,37,No,Research & Development,4,Life Sciences,2,Female,3,2,Manufacturing Director,2,6447,2,6,5,3
473,638,49,No,Research & Development,4,Life Sciences,4,Male,2,5,Research Director,3,19502,3,31,9,9
474,639,24,No,Research & Development,3,Medical,2,Male,4,1,Research Scientist,4,2725,2,6,5,4
475,641,26,No,Sales,2,Marketing,1,Male,3,2,Sales Executive,2,6272,4,5,3,4
476,643,24,No,Research & Development,2,Other,4,Male,2,1,Laboratory Technician,2,2127,4,1,0,0
477,644,50,No,Human Resources,3,Medical,1,Male,3,5,Manager,2,18200,3,32,5,7
478,645,25,No,Sales,1,Medical,2,Male,3,1,Sales Representative,3,2096,3,7,4,6
479,647,24,Yes,Research & Development,3,Life Sciences,1,Female,3,1,Laboratory Technician,3,2886,4,6,3,2
480,648,30,Yes,Sales,4,Life Sciences,2,Male,2,1,Sales Representative,1,2033,3,1,0,0
481,649,34,No,Research & Development,2,Life Sciences,2,Male,2,1,Research Scientist,4,3622,4,6,5,3
482,650,31,Yes,Sales,4,Medical,2,Male,3,2,Sales Executive,1,4233,3,3,1,2
483,652,35,No,Research & Development,2,Other,1,Male,2,2,Laboratory Technician,4,3681,4,3,2,2
484,653,31,No,Sales,4,Medical,1,Male,4,2,Sales Executive,4,5460,4,7,7,7
485,655,27,No,Research & Development,4,Medical,1,Female,2,1,Research Scientist,3,2187,3,5,3,3
486,656,37,No,Sales,3,Marketing,4,Male,3,2,Sales Executive,3,9602,3,3,0,0
487,657,20,No,Research & Development,3,Life Sciences,4,Female,2,1,Research Scientist,2,2836,4,1,0,0
488,659,42,No,Research & Development,4,Life Sciences,3,Female,3,2,Healthcare Representative,4,4089,2,10,2,2
489,661,43,No,Research & Development,4,Other,2,Male,2,4,Research Director,4,16627,3,1,0,0
490,662,38,No,Research & Development,1,Life Sciences,3,Female,3,1,Research Scientist,1,2619,4,0,0,0
491,663,43,No,Research & Development,5,Medical,4,Male,3,2,Laboratory Technician,3,5679,2,8,7,7
492,664,48,No,Research & Development,4,Life Sciences,4,Female,2,4,Manager,1,15402,1,3,2,2
493,665,44,No,Human Resources,4,Life Sciences,1,Female,2,2,Human Resources,3,5985,2,2,2,2
494,666,34,No,Sales,3,Technical Degree,3,Female,3,1,Sales Representative,3,2579,4,8,2,6
495,667,27,Yes,Sales,1,Marketing,3,Male,3,1,Sales Representative,1,3041,2,4,3,2
496,669,21,No,Sales,1,Technical Degree,3,Male,3,1,Sales Representative,3,3447,3,3,2,2
497,671,44,No,Research & Development,4,Other,4,Male,3,5,Manager,4,19513,1,2,2,1
498,675,22,No,Research & Development,1,Medical,1,Male,3,1,Research Scientist,3,2773,4,2,2,2
499,677,33,No,Sales,4,Marketing,3,Male,3,2,Sales Executive,3,7104,4,5,0,2
500,679,32,No,Research & Development,4,Life Sciences,1,Female,3,2,Research Scientist,4,6322,4,6,4,5
501,680,30,No,Research & Development,3,Medical,3,Female,3,1,Research Scientist,3,2083,3,1,0,0
502,682,53,No,Sales,1,Medical,4,Female,3,2,Sales Executive,1,8381,4,14,7,10
503,683,34,No,Research & Development,5,Life Sciences,2,Male,3,1,Research Scientist,4,2691,4,10,9,8
504,684,45,Yes,Sales,4,Life Sciences,1,Female,3,2,Sales Executive,1,4286,4,1,1,0
505,686,26,No,Research & Development,3,Life Sciences,3,Female,3,1,Laboratory Technician,4,2659,3,3,2,2
506,689,37,No,Research & Development,3,Other,3,Male,3,3,Manufacturing Director,3,9434,3,10,7,8
507,690,29,No,Sales,2,Medical,2,Female,3,2,Sales Executive,3,5561,1,6,0,2
508,691,35,No,Research & Development,4,Life Sciences,2,Male,1,2,Research Scientist,4,6646,2,17,11,8
509,692,33,No,Research & Development,3,Life Sciences,3,Male,3,2,Healthcare Representative,4,7725,3,13,11,7
510,698,54,No,Human Resources,4,Medical,3,Male,3,3,Human Resources,2,10725,3,9,7,1
511,699,36,No,Research & Development,2,Medical,2,Male,2,2,Manufacturing Director,2,8847,3,3,2,2
512,700,27,No,Research & Development,4,Medical,1,Male,2,1,Research Scientist,4,2045,4,4,2,1
513,701,20,Yes,Research & Development,1,Medical,4,Male,3,1,Research Scientist,3,1009,4,1,0,1
514,702,33,Yes,Research & Development,3,Life Sciences,1,Male,3,1,Research Scientist,1,3348,1,10,8,7
515,704,35,No,Research & Development,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,1281,3,1,0,0
516,705,23,No,Research & Development,3,Medical,1,Male,4,1,Research Scientist,1,2819,1,3,2,2
517,707,25,No,Sales,3,Life Sciences,4,Male,4,2,Sales Executive,2,4851,3,3,2,2
518,709,38,No,Sales,4,Marketing,4,Female,2,2,Sales Executive,4,4028,1,7,7,5
519,710,29,No,Research & Development,4,Life Sciences,2,Male,1,1,Research Scientist,4,2720,4,10,7,8
520,712,48,No,Sales,1,Marketing,2,Male,4,2,Sales Executive,2,8120,4,2,2,2
521,714,27,No,Sales,1,Medical,4,Female,4,2,Sales Executive,4,4647,2,6,5,4
522,715,37,No,Research & Development,2,Life Sciences,4,Male,4,1,Research Scientist,4,4680,1,1,0,0
523,716,50,No,Research & Development,1,Medical,4,Male,4,1,Laboratory Technician,3,3221,3,20,8,8
524,717,34,No,Research & Development,3,Medical,4,Female,2,3,Healthcare Representative,2,8621,2,8,7,7
525,720,24,Yes,Sales,2,Life Sciences,1,Female,3,2,Sales Executive,3,4577,1,2,2,0
526,721,39,No,Research & Development,4,Technical Degree,4,Female,2,2,Healthcare Representative,3,4553,1,20,7,10
527,722,32,No,Sales,3,Marketing,4,Male,3,2,Sales Executive,4,5396,4,10,7,8
528,723,50,Yes,Sales,2,Technical Degree,2,Male,3,2,Sales Executive,3,6796,1,4,3,3
529,724,38,No,Research & Development,4,Life Sciences,2,Female,4,2,Healthcare Representative,4,7625,3,9,7,8
530,725,27,No,Research & Development,2,Life Sciences,3,Female,3,3,Manufacturing Director,1,7412,4,9,7,7
531,727,32,No,Research & Development,2,Life Sciences,3,Female,3,3,Research Director,4,11159,4,7,7,7
532,728,47,No,Sales,4,Marketing,4,Male,3,2,Sales Executive,1,4960,4,7,7,7
533,729,40,No,Sales,4,Life Sciences,4,Male,2,3,Sales Executive,1,10475,3,18,13,12
534,730,53,No,Research & Development,3,Life Sciences,3,Male,4,4,Research Director,3,14814,3,5,1,3
535,731,41,No,Human Resources,4,Human Resources,2,Male,2,5,Manager,4,19141,2,21,6,6
536,732,60,No,Sales,4,Marketing,1,Male,3,2,Sales Executive,1,5405,4,2,2,2
537,733,27,No,Research & Development,2,Life Sciences,4,Male,3,3,Manufacturing Director,1,8793,3,9,7,7
538,734,41,No,Human Resources,3,Human Resources,4,Male,2,5,Manager,3,19189,2,22,7,10
539,738,50,No,Sales,4,Marketing,4,Male,3,1,Sales Representative,2,3875,4,2,2,2
540,741,28,Yes,Research & Development,2,Life Sciences,1,Female,1,1,Research Scientist,2,2216,4,7,7,7
541,742,36,No,Research & Development,3,Life Sciences,1,Female,4,3,Research Director,1,11713,1,8,7,5
542,743,38,No,Research & Development,3,Life Sciences,3,Female,3,3,Manufacturing Director,3,7861,4,1,0,0
543,744,44,No,Research & Development,3,Medical,1,Male,1,1,Laboratory Technician,3,3708,3,5,2,4
544,746,47,No,Sales,3,Medical,4,Female,3,4,Sales Executive,3,13770,4,22,2,13
